2021-05-26 11:47:11,e5e4,105,78762,3384154,9770,3442605,3471597
2021-05-26 11:47:12,e5e4,106,79218,3416466,9851,3475292,3504365
2021-05-26 11:47:13,e5e4,107,79625,3448828,9932,3507979,3537133
2021-05-26 11:47:14,e5e4,108,80034,3481187,10013,3540666,3569901
2021-05-26 11:47:15,e5e4,109,80509,3513480,10094,3573353,3602669
2021-05-26 11:47:16,e5e4,110,80947,3545810,10175,3606040,3635438
2021-05-26 11:47:17,e5e4,111,81636,3577889,10452,3638531,3668206
2021-05-26 11:47:18,e5e4,112,82082,3610211,10533,3671218,3700973
2021-05-26 11:47:19,e5e4,113,82604,3642457,10614,3703905,3733742
2021-05-26 11:47:20,e5e4,114,83172,3674657,10695,3736592,3766510
2021-05-26 11:47:21,e5e4,115,83698,3706899,10776,3769279,3799278
2021-05-26 11:47:22,e5e4,116,84363,3739002,10949,3801874,3832046
2021-05-26 11:47:23,e5e4,117,84889,3771244,11030,3834561,3864814
2021-05-26 11:47:24,e5e4,118,85415,3803486,11111,3867248,3897582
2021-05-26 11:47:25,e5e4,119,85948,3835721,11193,3899934,3930350
2021-05-26 11:47:26,e5e4,120,86505,3867932,11274,3932621,3963118
2021-05-26 11:47:27,e5e4,121,87030,3900175,11355,3965308,3995886
2021-05-26 11:47:28,e5e4,122,87553,3932420,11436,3997995,4028654
2021-05-26 11:47:29,e5e4,123,88080,3964661,11517,4030682,4061422
2021-05-26 11:47:30,e5e4,124,88606,3996903,11598,4063369,4094190
2021-05-26 11:47:31,e5e4,125,89129,4029148,11679,4096056,4126958
2021-05-26 11:47:32,e5e4,126,89656,4061389,11760,4128743,4159726
2021-05-26 11:47:33,e5e4,127,90182,4093631,11841,4161430,4192494
2021-05-26 11:47:34,e5e4,128,90716,4125865,11922,4194117,4225262
2021-05-26 11:47:35,e5e4,129,91243,4158106,12003,4226804,4258030
2021-05-26 11:47:36,e5e4,130,91800,4190317,12084,4259491,4290798
2021-05-26 11:47:37,e5e4,131,92323,4222562,12165,4292178,4323566
2021-05-26 11:47:38,e5e4,132,92854,4254799,12246,4324865,4356334
2021-05-26 11:47:39,e5e4,133,93380,4287041,12327,4357552,4389102
2021-05-26 11:47:40,e5e4,134,93903,4319286,12408,4390239,4421870
2021-05-26 11:47:41,e5e4,135,94429,4351528,12489,4422926,4454638
2021-05-26 11:47:42,e5e4,136,94967,4383758,12570,4455613,4487406
2021-05-26 11:47:43,e5e4,137,95490,4416003,12651,4488300,4520174
2021-05-26 11:47:44,e5e4,138,96145,4448116,12813,4520906,4552942
2021-05-26 11:47:45,e5e4,139,96674,4480355,12894,4553593,4585710
2021-05-26 11:47:46,e5e4,140,97232,4512565,12975,4586281,4618478
2021-05-26 11:47:47,e5e4,141,97765,4544800,13056,4618968,4651246
2021-05-26 11:47:48,e5e4,142,98303,4577030,13137,4651655,4684014
2021-05-26 11:47:49,e5e4,143,98837,4609264,13218,4684342,4716782
2021-05-26 11:47:50,e5e4,144,99374,4641495,13299,4717029,4749550
2021-05-26 11:47:51,e5e4,145,99912,4673725,13380,4749716,4782318
2021-05-26 11:47:52,e5e4,146,100446,4705959,13461,4782403,4815086
2021-05-26 11:47:53,e5e4,147,100893,4738280,13542,4815090,4847854
2021-05-26 11:47:54,e5e4,148,101304,4770638,13623,4847777,4880622
2021-05-26 11:47:55,e5e4,149,101710,4803000,13704,4880464,4913390
2021-05-26 11:47:56,e5e4,150,102153,4835325,13785,4913151,4946159
2021-05-26 11:47:57,e5e4,151,102567,4867679,13866,4945838,4978926
2021-05-26 11:47:58,e5e4,152,102975,4900039,13947,4978525,5011694
2021-05-26 11:47:59,e5e4,153,103549,4932233,14110,5011130,5044462
2021-05-26 11:48:00,e5e4,154,104074,4964476,14191,5043817,5077231
2021-05-26 11:48:01,e5e4,155,104595,4996723,14272,5076504,5109999
2021-05-26 11:48:02,e5e4,156,105120,5028966,14353,5109191,5142767
2021-05-26 11:48:03,e5e4,157,105845,5061009,14554,5141758,5175535
2021-05-26 11:48:04,e5e4,158,106367,5093255,14636,5174444,5208303
2021-05-26 11:48:05,e5e4,159,107120,5125270,14809,5207039,5241071
2021-05-26 11:48:06,e5e4,160,107677,5157481,14890,5239726,5273839
2021-05-26 11:48:07,e5e4,161,108325,5189601,15054,5272330,5306607
2021-05-26 11:48:08,e5e4,162,108851,5221843,15135,5305017,5339375
2021-05-26 11:48:09,e5e4,163,109377,5254085,15216,5337704,5372143
2021-05-26 11:48:10,e5e4,164,109900,5286330,15297,5370391,5404911
2021-05-26 11:48:11,e5e4,165,110427,5318571,15378,5403078,5437679
2021-05-26 11:48:12,e5e4,166,110953,5350813,15459,5435765,5470447
2021-05-26 11:48:13,e5e4,167,111476,5383058,15540,5468452,5503215
2021-05-26 11:48:14,e5e4,168,112014,5415288,15621,5501139,5535983
2021-05-26 11:48:15,e5e4,169,112540,5447530,15702,5533826,5568751
2021-05-26 11:48:16,e5e4,170,113094,5479744,15783,5566513,5601519
2021-05-26 11:48:17,e5e4,171,113633,5511973,15864,5599200,5634287
2021-05-26 11:48:18,e5e4,172,114159,5544215,15945,5631887,5667055
2021-05-26 11:48:19,e5e4,173,114682,5576460,16026,5664574,5699823
2021-05-26 11:48:20,e5e4,174,115209,5608701,16107,5697261,5732591
2021-05-26 11:48:21,e5e4,175,115862,5640816,16269,5729867,5765359
2021-05-26 11:48:22,e5e4,176,116385,5673061,16350,5762554,5798127
2021-05-26 11:48:23,e5e4,177,116911,5705303,16431,5795241,5830895
2021-05-26 11:48:24,e5e4,178,117437,5737545,16512,5827928,5863663
2021-05-26 11:48:25,e5e4,179,117963,5769787,16593,5860615,5896431
2021-05-26 11:48:26,e5e4,180,118524,5801994,16674,5893303,5929199
2021-05-26 11:48:27,e5e4,181,119053,5834233,16755,5925989,5961967
2021-05-26 11:48:28,e5e4,182,119581,5866473,16836,5958677,5994735
2021-05-26 11:48:29,e5e4,183,120117,5898705,16917,5991364,6027503
2021-05-26 11:48:30,e5e4,184,120655,5930935,16998,6024051,6060271
2021-05-26 11:48:31,e5e4,185,121189,5963169,17079,6056738,6093039
2021-05-26 11:48:32,e5e4,186,121726,5995400,17160,6089425,6125807
2021-05-26 11:48:33,e5e4,187,122264,6027630,17241,6122112,6158575
2021-05-26 11:48:34,e5e4,188,122755,6059907,17322,6154799,6191343
2021-05-26 11:48:35,e5e4,189,123164,6092266,17403,6187486,6224111
2021-05-26 11:48:36,e5e4,190,123607,6124592,17484,6220173,6256879
2021-05-26 11:48:37,e5e4,191,124015,6156952,17565,6252860,6289647
2021-05-26 11:48:38,e5e4,192,124424,6189311,17646,6285547,6322415
2021-05-26 11:48:39,e5e4,193,124835,6221668,17727,6318234,6355183
2021-05-26 11:48:40,e5e4,194,125245,6254026,17808,6350921,6387951
2021-05-26 11:48:41,e5e4,195,125738,6286301,17890,6383607,6420720
2021-05-26 11:48:42,e5e4,196,126262,6318545,17972,6416293,6453488
2021-05-26 11:48:43,e5e4,197,126910,6350665,18134,6448899,6486256
2021-05-26 11:48:44,e5e4,198,127435,6382908,18215,6481586,6519024
2021-05-26 11:48:45,e5e4,199,128160,6414951,18415,6514154,6551792
2021-05-26 11:48:46,e5e4,200,128713,6447166,18497,6546840,6584560
2021-05-26 11:48:47,e5e4,201,129238,6479409,18579,6579526,6617328
2021-05-26 11:48:48,e5e4,202,129764,6511651,18660,6612213,6650096
2021-05-26 11:48:49,e5e4,203,130286,6543897,18741,6644900,6682864
2021-05-26 11:48:50,e5e4,204,130877,6576074,18822,6677587,6715632
2021-05-26 11:48:51,e5e4,205,131403,6608316,18903,6710274,6748400
2021-05-26 11:48:52,e5e4,206,131938,6640549,18984,6742961,6781168
2021-05-26 11:48:53,e5e4,207,132465,6672790,19065,6775648,6813936
2021-05-26 11:48:54,e5e4,208,132991,6705032,19146,6808335,6846704
2021-05-26 11:48:55,e5e4,209,133514,6737277,19227,6841022,6879472
2021-05-26 11:48:56,e5e4,210,134072,6769487,19308,6873709,6912240
2021-05-26 11:48:57,e5e4,211,134600,6801727,19389,6906396,6945008
2021-05-26 11:48:58,e5e4,212,135123,6833972,19470,6939083,6977776
2021-05-26 11:48:59,e5e4,213,135650,6866213,19551,6971770,7010544
2021-05-26 11:49:00,e5e4,214,136176,6898455,19632,7004457,7043312
2021-05-26 11:49:01,e5e4,215,136699,6930700,19713,7037144,7076080
2021-05-26 11:49:02,e5e4,216,137226,6962941,19794,7069831,7108848
2021-05-26 11:49:03,e5e4,217,137752,6995183,19875,7102518,7141616
2021-05-26 11:49:04,e5e4,218,138298,7027405,19956,7135205,7174384
2021-05-26 11:49:05,e5e4,219,138825,7059646,20037,7167892,7207152
2021-05-26 11:49:06,e5e4,220,139383,7091856,20119,7200579,7239920
2021-05-26 11:49:07,e5e4,221,139906,7124101,20200,7233265,7272688
2021-05-26 11:49:08,e5e4,222,140435,7156340,20281,7265952,7305456
2021-05-26 11:49:09,e5e4,223,141108,7188435,20477,7298525,7338224
2021-05-26 11:49:10,e5e4,224,141634,7220677,20558,7331211,7370992
2021-05-26 11:49:11,e5e4,225,142163,7252916,20639,7363899,7403760
2021-05-26 11:49:12,e5e4,226,142701,7285146,20720,7396586,7436528
2021-05-26 11:49:13,e5e4,227,143235,7317380,20801,7429273,7469296
2021-05-26 11:49:14,e5e4,228,143772,7349611,20882,7461960,7502064
2021-05-26 11:49:15,e5e4,229,144310,7381841,20963,7494647,7534832
2021-05-26 11:49:16,e5e4,230,144877,7414043,21044,7527334,7567600
2021-05-26 11:49:17,e5e4,231,145413,7446274,21125,7560021,7600368
2021-05-26 11:49:18,e5e4,232,145864,7478591,21206,7592708,7633136
2021-05-26 11:49:19,e5e4,233,146270,7510953,21287,7625395,7665904
2021-05-26 11:49:20,e5e4,234,146680,7543312,21368,7658082,7698672
2021-05-26 11:49:21,e5e4,235,147092,7575668,21449,7690769,7731440
2021-05-26 11:49:22,e5e4,236,147498,7608030,21530,7723456,7764208
2021-05-26 11:49:23,e5e4,237,147907,7640389,21612,7756142,7796976
2021-05-26 11:49:24,e5e4,238,148320,7672744,21693,7788829,7829744
2021-05-26 11:49:25,e5e4,239,148816,7705016,21774,7821516,7862513
2021-05-26 11:49:26,e5e4,240,149372,7737228,21855,7854203,7895281
2021-05-26 11:49:27,e5e4,241,149897,7769471,21936,7886890,7928049
